Card Name,List Name,Card Description,Labels,Due Date,Members
"[SETUP] Initialiser Node.js + Express 5","✅ TERMINÉ","Créer le projet avec Express 5, Sequelize 6, et la structure MVC complète (controllers/, models/, routes/, services/, middlewares/).","Backend,Setup",,
"[SETUP] Configurer PostgreSQL + Sequelize","✅ TERMINÉ","Fichier config/database.js, pool de connexions, dialecte postgres, logging désactivé en prod.","Backend,Setup",,
"[SETUP] Créer le .env.example","✅ TERMINÉ","Template complet avec toutes les variables : JWT_SECRET, DB_*, ENCRYPTION_KEY, SMTP_*, MTN_*, AIRTEL_*, VAPID_*, LICENSE_*, MONITOR_API_KEY.","Backend,Setup",,
"[SETUP] Frontend React + Vite 5 + Tailwind","✅ TERMINÉ","SPA React 19 avec Vite 5.4.21 (downgrade pour stabilité Windows), Tailwind CSS v3, proxy API vers :3000.","Frontend,Setup",,
"[MODEL] Organization","✅ TERMINÉ","UUID, name, slug (unique indexé), status ENUM (active/suspended/trial), settings JSONB, timestamps.","Backend,Database",,
"[MODEL] User","✅ TERMINÉ","UUID, email (unique), password (bcrypt 12 rounds), role ENUM (superadmin/admin/manager/staff/accountant/user), firstName, lastName, phone, referral_code, organizationId (FK).","Backend,Database",,
"[MODEL] Plan","✅ TERMINÉ","UUID, name, price, durationDays, description, isActive, organizationId (FK). Plans d'abonnement par organisation.","Backend,Database",,
"[MODEL] Subscription","✅ TERMINÉ","UUID, userId, planId, status (active/grace_period/expired), startDate, endDate. Lazy Evaluation du statut.","Backend,Database",,
"[MODEL] Transaction","✅ TERMINÉ","UUID, amount, currency (XAF), status (success/pending/failed), method (mtn_momo/airtel_money), provider, providerRef, webhookData JSONB, userId, subscriptionId.","Backend,Database",,
"[MODEL] Ticket","✅ TERMINÉ","UUID, subject, message, status (open/in_progress/resolved/closed), priority (low/medium/high/critical), responses JSONB, userId, assignedTo, organizationId.","Backend,Database",,
"[MODEL] AuditLog + AdminLog","✅ TERMINÉ","Logs de communication (email/SMS/push) et logs d'actions admin (changement rôle, suspension, impersonation).","Backend,Database",,
"[MODEL] Announcement + PushSubscription","✅ TERMINÉ","Annonces globales (titre, message, type, targetRole) et abonnements push navigateur (endpoint, keys JSONB).","Backend,Database",,
"[SEC] Helmet — Headers HTTP","✅ TERMINÉ","CSP strict (default-src 'self'), HSTS 1 an, X-Frame DENY, X-Content-Type nosniff, COEP require-corp, CORP same-origin.","Backend,Sécurité",,
"[SEC] Rate Limiting","✅ TERMINÉ","Login : 10 req / 15min. API générale : 100 req / 15min. Réponse 429 + Retry-After header.","Backend,Sécurité",,
"[SEC] Anti-Scanner (scannerProtection)","✅ TERMINÉ","Traque les 404 par IP. 5 requêtes 404 → ban temporaire. Protège contre nmap, nikto, dirb, etc.","Backend,Sécurité",,
"[SEC] Validateur d'environnement (envValidator)","✅ TERMINÉ","CRASH au démarrage si : JWT_SECRET < 32 chars, valeur par défaut détectée (changeme, secret, etc.), DB_PASS manquant, ENCRYPTION_KEY absent.","Backend,Sécurité",,
"[SEC] Chiffrement AES-256-GCM","✅ TERMINÉ","Service encryptionService.js : IV unique par opération, AuthTag pour intégrité. Utilisé pour les numéros MoMo stockés en BDD.","Backend,Sécurité",,
"[SEC] Upload sécurisé (Magic Bytes)","✅ TERMINÉ","Vérification signature binaire réelle du fichier (pas juste l'extension). Max 5MB. Types : JPEG, PNG, PDF. Nom sanitisé en UUID.","Backend,Sécurité",,
"[SEC] Webhook HMAC Validation","✅ TERMINÉ","Chaque webhook MTN/Airtel vérifie la signature HMAC-SHA256 du body avec le secret du provider. Rejet 401 si invalide.","Backend,Sécurité",,
"[AUTH] Login universel","✅ TERMINÉ","POST /api/auth/login : bcrypt verify, génération JWT (HS256, 24h), payload {id, role, organizationId}. Redirection par rôle côté frontend.","Backend,Auth",,
"[AUTH] Register Admin + Organisation","✅ TERMINÉ","POST /api/auth/register : Crée une Organisation + un User admin en transaction. Validation Joi stricte.","Backend,Auth",,
"[AUTH] Register Client (self-service)","✅ TERMINÉ","POST /api/auth/register-client : Inscription dans une org existante, rôle FORCÉ à 'user' côté backend. Validation UUID de l'org.","Backend,Auth",,
"[AUTH] Liste organisations publiques","✅ TERMINÉ","GET /api/auth/organizations : Liste des orgs actives (id, name, slug) pour le choix à l'inscription client. Route publique.","Backend,Auth",,
"[RBAC] Middleware rôles granulaires","✅ TERMINÉ","28 permissions définies dans la matrice RBAC. 6 rôles : superadmin > admin > manager > staff/accountant > user. Middleware checkPermission().","Backend,RBAC",,
"[RBAC] Isolation multi-tenant","✅ TERMINÉ","Chaque requête scopée par organizationId du JWT. Un user ne peut JAMAIS accéder aux données d'une autre org.","Backend,RBAC",,
"[PAY] PaymentManager (orchestrateur)","✅ TERMINÉ","Routing automatique vers le bon provider selon l'opérateur détecté (MTN/Airtel/Agrégateur). Pattern Strategy.","Backend,Paiement",,
"[PAY] MTN Congo Provider","✅ TERMINÉ","Intégration API MTN Mobile Money Congo. Initiation paiement + callback webhook.","Backend,Paiement",,
"[PAY] Airtel Congo Provider","✅ TERMINÉ","Intégration API Airtel Money Congo. Même interface que MTN (BaseProvider).","Backend,Paiement",,
"[PAY] Agrégateur (fallback)","✅ TERMINÉ","Provider de fallback si l'API directe échoue. Utilise un agrégateur tiers.","Backend,Paiement",,
"[PAY] Mock Provider (tests)","✅ TERMINÉ","Provider simulé pour le développement. Simule succès/échec/pending.","Backend,Paiement",,
"[PAY] Webhook Controller","✅ TERMINÉ","Réception callbacks MTN/Airtel, vérification HMAC, idempotence (providerRef unique), mise à jour Transaction + Subscription.","Backend,Paiement",,
"[SVC] Subscription Service (Lazy Eval)","✅ TERMINÉ","Calcul dynamique du statut à chaque requête (pas de CRON). active → grace_period → expired selon les dates.","Backend,Service",,
"[SVC] Stats Service (Analytics)","✅ TERMINÉ","Calcul temps réel : MRR, Churn Rate, Growth, Plan Distribution, Renewal Forecast. Scopé par organisation.","Backend,Service",,
"[SVC] PDF Service (Reçus)","✅ TERMINÉ","Génération reçus PDF avec PDFKit : numéro transaction, QR code, logo org, détails paiement.","Backend,Service",,
"[SVC] Notification Service","✅ TERMINÉ","Multi-canal : Email (nodemailer/SMTP), SMS (agrégateur), Push (web-push/VAPID). Templates personnalisables.","Backend,Service",,
"[SVC] Logger Service (Winston)","✅ TERMINÉ","Logging structuré : fichiers rotatifs + console. Niveaux : error, warn, info, debug. Zéro token dans les logs.","Backend,Service",,
"[SVC] Licence Service (Option B)","✅ TERMINÉ","Validation JWT de licence au démarrage. Vérification expiration. Mode mono-tenant si LICENSE_KEY défini.","Backend,Service",,
"[SVC] i18n (FR/EN)","✅ TERMINÉ","Détection langue via Accept-Language ou ?lang=. Fichiers locales/fr.json et locales/en.json.","Backend,Service",,
"[SVC] Push Service (VAPID)","✅ TERMINÉ","Web Push notifications. Enregistrement des souscriptions navigateur. Envoi ciblé par user/org/rôle.","Backend,Service",,
"[API] System Mode (Platform/Licence)","✅ TERMINÉ","GET /api/v1/system/mode : Retourne 'platform' ou 'license' + org par défaut. Utilisé par le frontend pour adapter l'inscription.","Backend,API",,
"[API] QR Token signé (HMAC-SHA256)","✅ TERMINÉ","GET /api/v1/system/qr-token : Token rotatif toutes les 5min. Payload signé : userId, subId, orgId, timeSlot, hash.","Backend,API",,
"[API] Vérification QR Code","✅ TERMINÉ","POST /api/v1/system/verify-qr : Staff scanne le QR → vérifie signature + expiration + statut abonnement. Multi-tenant.","Backend,API",,
"[API] Super-Admin Impersonation","✅ TERMINÉ","POST /api/v1/superadmin/impersonate/:userId : Génère un JWT temporaire (1h) pour 'voir comme' un utilisateur. Loggé dans AdminLog.","Backend,API",,
"[API] Annonces globales","✅ TERMINÉ","CRUD /api/v1/superadmin/announcements : titre, message, type (info/warning/critical), targetRole, targetOrg.","Backend,API",,
"[API] Client self-service complet","✅ TERMINÉ","Routes /api/client/* : profil, factures, paiement, consommation. Middleware authMiddleware + tenant isolation.","Backend,API",,
"[API] Admin Dashboard APIs","✅ TERMINÉ","Routes /api/v1/admin/* : stats, membres CRUD, export CSV, templates notification, tickets org.","Backend,API",,
"[FE] Design System (Dark Mode)","✅ TERMINÉ","'Enterprise Dark Mode' avec Tailwind CSS. Composants réutilisables : Card, Button, Input (avec sanitization HTML), Spinner.","Frontend,Design",,
"[FE] apiClient (Axios + JWT)","✅ TERMINÉ","Intercepteur request : injection Bearer token. Intercepteur response : auto-logout 401/403, messages d'erreur normalisés.","Frontend,Auth",,
"[FE] AuthContext + Auto-logout","✅ TERMINÉ","Context React global. Auto-logout après 30min d'inactivité. Stockage localStorage (sf_token, sf_user, sf_org). getDefaultPath par rôle.","Frontend,Auth",,
"[FE] ProtectedRoute + RoleGuard","✅ TERMINÉ","ProtectedRoute : redirige vers /login si pas de token. RoleGuard : vérifie le rôle contre allowedRoles[]. Pages 403/404.","Frontend,Auth",,
"[FE] Page Login","✅ TERMINÉ","Formulaire email/password. Liens vers /register (admin) et /join (client). Redirection automatique si déjà connecté.","Frontend,Pages",,
"[FE] Page Register (Admin)","✅ TERMINÉ","Inscription admin : nom org, slug, email, password. Crée Organisation + User admin en un seul flux.","Frontend,Pages",,
"[FE] Page ClientRegister (/join)","✅ TERMINÉ","Inscription client avec mode Platform/Licence. Étape 1 : choix org (recherche). Étape 2 : formulaire. Validation UUID. Badge 'Vérifié' en mode licence.","Frontend,Pages",,
"[FE] Dashboard Client (complet)","✅ TERMINÉ","Widget statut (vert/orange/rouge), jours restants avec barre progression, QR Code sécurisé rotatif, factures récentes, CTA paiement mobile.","Frontend,Pages",,
"[FE] Page Abonnement + Paiement MoMo","✅ TERMINÉ","Cards plans (badge Populaire), tunnel paiement : numéro MoMo/Airtel + détection opérateur automatique (préfix Congo), polling webhook 10s, récapitulatif.","Frontend,Pages",,
"[FE] Composant SecureQrCode","✅ TERMINÉ","QR Code rotatif (renouvellement 5min), compteur à rebours, grisé+barré si expiré, badge 'Grâce', instruction utilisateur.","Frontend,Composant",,
"[FE] Page Factures + PDF Download","✅ TERMINÉ","Liste paginée, badges statut (Payé/En attente/Échoué), méthode paiement, bouton téléchargement PDF via API authentifiée (blob).","Frontend,Pages",,
"[FE] Page Profil client","✅ TERMINÉ","Édition prénom, nom, genre, téléphone, entreprise. Formulaire avec composant Input sanitisé.","Frontend,Pages",,
"[FE] Page Paiement Rapide","✅ TERMINÉ","Sauvegarde méthode de paiement MoMo (chiffré AES-256-GCM côté backend). Ajout/modification/suppression.","Frontend,Pages",,
"[FE] Page Tickets Client","✅ TERMINÉ","Création ticket (sujet, message, priorité). Liste 'Mes tickets' avec statut et réponses.","Frontend,Pages",,
"[FE] Dashboard Admin","✅ TERMINÉ","KPI cards : total abonnés, MRR, expirations proches, revenus du mois. Données depuis /api/v1/admin/stats.","Frontend,Pages",,
"[FE] Page Membres Admin","✅ TERMINÉ","Liste membres org + ajout + changement de rôle (RBAC). Recherche et filtrage.","Frontend,Pages",,
"[FE] Page Analytics Admin","✅ TERMINÉ","Graphiques : MRR mensuel, Churn Rate, Croissance abonnés, Répartition par plan. Données depuis statsService.","Frontend,Pages",,
"[FE] Page Tickets Admin","✅ TERMINÉ","Gestion tickets org : filtrage par statut/priorité, réponse inline, changement statut.","Frontend,Pages",,
"[FE] Page Export Admin","✅ TERMINÉ","Export CSV transactionnel avec filtres : dates, statut. Téléchargement via API authentifiée.","Frontend,Pages",,
"[FE] Page Paramètres Admin","✅ TERMINÉ","Édition templates de notification (expiry_reminder, payment_confirmation, welcome). Variables dynamiques {{nom}}, {{plan}}, etc.","Frontend,Pages",,
"[FE] Dashboard Super-Admin","✅ TERMINÉ","KPI globaux plateforme : total orgs, total users, revenus globaux, orgs actives.","Frontend,Pages",,
"[FE] Page Organisations SA","✅ TERMINÉ","Liste toutes les orgs + recherche + filtres (active/trial/suspended) + actions suspend/activate.","Frontend,Pages",,
"[FE] Page Audit Logs SA","✅ TERMINÉ","Timeline chronologique des événements sécurité. Filtres par action (LOGIN, REGISTER, IMPERSONATION, etc.). Pagination.","Frontend,Pages",,
"[FE] Page Système SA","✅ TERMINÉ","Annonces globales CRUD (type/rôle ciblé). Versions déployées. Statut sécurité.","Frontend,Pages",,
"[FE] DashboardLayout (Sidebar)","✅ TERMINÉ","Sidebar responsive + hamburger mobile. Liens dynamiques selon le rôle. Badge rôle coloré. Bouton déconnexion.","Frontend,Layout",,
"[FE] Utilitaire phoneUtils","✅ TERMINÉ","Détection opérateur Congo (MTN: 04/05/06, Airtel: 01/02/03/07). Formatage numéro. getOperatorInfo pour l'UI.","Frontend,Utilitaire",,
"[DOC] Documentation Technique","✅ TERMINÉ","DOCUMENTATION_TECHNIQUE.md : architecture, 9 couches sécurité, matrice RBAC, 40+ endpoints, système paiement, guide déploiement.","Documentation",,
"Configurer PostgreSQL en local","🔧 EN COURS","Installer PostgreSQL, créer la base, configurer le .env avec les bons credentials (DB_HOST, DB_NAME, DB_USER, DB_PASS).","Backend,Config",,
"Générer les secrets de production","🔧 EN COURS","Exécuter les commandes pour générer : JWT_SECRET (64 chars), ENCRYPTION_KEY (32 bytes hex), MONITOR_API_KEY, VAPID keys.","Backend,Sécurité",,
"Tester le flux complet Login → Dashboard","🔧 EN COURS","Avec PostgreSQL connecté : créer un admin via /register, puis un client via /join, vérifier la redirection par rôle.","Test,E2E",,
"Tester le paiement MoMo end-to-end","🔧 EN COURS","Avec MockProvider en dev : initier un paiement depuis le frontend, vérifier le polling, simuler le webhook callback.","Test,Paiement",,
"Tester le QR Code rotation","🔧 EN COURS","Vérifier que le QR change toutes les 5 minutes, que le compteur fonctionne, et que le QR expiré est grisé.","Test,QR Code",,
"Configurer SMTP (emails transactionnels)","📋 À FAIRE","Choisir un provider SMTP (Brevo, Mailgun, ou SMTP local). Remplir SMTP_HOST/PORT/USER/PASS dans .env. Tester l'envoi d'un email.","Backend,Config",,
"Configurer les clés API MTN Congo","📋 À FAIRE","Contacter MTN Congo Business pour obtenir les clés API production. Configurer MTN_CONGO_API_KEY et MTN_CONGO_WEBHOOK_SECRET.","Backend,Paiement",,
"Configurer les clés API Airtel Money","📋 À FAIRE","Contacter Airtel Congo pour les clés API. Configurer AIRTEL_CONGO_API_KEY et AIRTEL_CONGO_WEBHOOK_SECRET.","Backend,Paiement",,
"Créer le premier Super-Admin","📋 À FAIRE","Créer manuellement en BDD le premier compte super-admin (ou via un script CLI sécurisé). Tester l'accès /superadmin.","Backend,Auth",,
"HTTPS + Reverse Proxy (Nginx/Caddy)","📋 À FAIRE","Installer Nginx ou Caddy devant Express. Configurer SSL/TLS (Let's Encrypt). Rediriger HTTP→HTTPS.","DevOps,Sécurité",,
"Backup automatique PostgreSQL","📋 À FAIRE","Configurer pg_dump journalier automatique. Stocker les backups sur un volume séparé ou S3.","DevOps,Database",,
"Tests unitaires (Jest)","📋 À FAIRE","Installer Jest. Écrire des tests pour : authController, subscriptionService, encryptionService, RBAC middleware.","Test,Backend",,
"Tests d'intégration API","📋 À FAIRE","Tester les routes principales avec Supertest : login, register, subscribe, webhook, QR verify.","Test,Backend",,
"CI/CD Pipeline","📋 À FAIRE","Configurer GitHub Actions ou GitLab CI : lint, tests, build frontend, deploy automatique.","DevOps,CI/CD",,
"Responsive final (mobile/tablette)","📋 À FAIRE","Vérifier toutes les pages sur mobile réel (Chrome DevTools + vrai smartphone). Corriger les overflow et spacing.","Frontend,UX",,
"PWA — Service Worker complet","📋 À FAIRE","Finaliser sw.js : cache stratégique (API calls), notification push listener, background sync pour paiements offline.","Frontend,PWA",,
"Page Changement de mot de passe","📋 À FAIRE","Écran obligatoire à la première connexion si l'admin a créé le compte. Forcer un nouveau mot de passe.","Frontend,Auth",,
"Page Mot de passe oublié","📋 À FAIRE","Flux : email → token temporaire (15min) → reset password. Backend : route POST /api/auth/forgot-password + POST /api/auth/reset-password.","Frontend,Auth",,
"Scanner QR Code (Staff)","📋 À FAIRE","Page /admin/scanner : utiliser la caméra pour scanner un QR Code, appeler POST /verify-qr, afficher résultat (Valide/Expiré + infos abonné).","Frontend,Métier",,
"Dashboard Analytics avancé","📋 À FAIRE","Intégrer Chart.js ou Recharts pour les graphiques réels (MRR historique, churn trend, inscriptions journalières).","Frontend,Analytics",,
"Notifications Push temps réel","📋 À FAIRE","Intégrer le service worker pour recevoir les push du backend. Afficher les notifications dans le header (cloche avec badge).","Frontend,Notifications",,
"Mode Licence — Branding custom","📋 À FAIRE","En mode Option B : permettre de changer le logo, les couleurs, le nom de l'app depuis les paramètres admin.","Frontend,Option B",,
"Documentation API (Swagger/OpenAPI)","📋 À FAIRE","Générer une doc API interactive avec swagger-jsdoc + swagger-ui-express. Documenter tous les endpoints.","Documentation,API",,
"Monitoring & Alerting","📋 À FAIRE","Configurer un dashboard de monitoring (Grafana, UptimeRobot, ou custom). Alertes email si le serveur tombe.","DevOps,Monitoring",,
"Optimisation performance","📋 À FAIRE","Pagination côté serveur (déjà fait), lazy loading composants React, compression gzip, cache Redis (optionnel).","Backend,Performance",,
"Migration Sequelize (production)","📋 À FAIRE","Créer les fichiers de migration Sequelize au lieu d'utiliser sync(). Permettre les mises à jour sans perte de données.","Backend,Database",,
"Audit de sécurité externe","📋 À FAIRE","Faire un pentest léger avec OWASP ZAP ou Burp Suite. Vérifier les top 10 OWASP. Corriger les failles trouvées.","Sécurité,Audit",,
"Internationalisation frontend","📋 À FAIRE","Intégrer react-i18next pour le multi-langue côté frontend (FR par défaut, EN en option).","Frontend,i18n",,
"Déploiement production","📋 À FAIRE","Choisir l'hébergement (VPS DigitalOcean, Render, Railway). Configurer le domaine. Déployer backend + frontend.","DevOps,Deploy",,
